127.0.0.1 - - [16/Jul/2019:13:35:29 +0900] "GET / HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:35:31 +0900] "GET /movie/listview HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:35:31 +0900] "GET /movie/css/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:35:31 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:36:25 +0900] "GET /movie/listview HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:36:25 +0900] "GET /movie/css/list.css HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:36:25 +0900] "GET /movie/listview] HTTP/1.1" 400 1152
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:36:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:36:29 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:37:29 +0900] "GET /movie/mypage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:37:29 +0900] "GET /movie/listview?loginflg=1 HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /movie/mypage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /movie/listview?loginflg=1 HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /movie/css/list.css HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /movie/css/header.css HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /movie/img/ntmc.png HTTP/1.1" 200 43736
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:13:51:55 +0900] "GET /movie/img/background.jpg HTTP/1.1" 200 378697
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:54:54 +0900] "GET /movie/listview HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:54:54 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:54:59 +0900] "GET /movie/ditail HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:54:59 +0900] "GET /movie/listview?loginflg=1 HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:54:59 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:04 +0900] "GET /movie/searchmovie?search= HTTP/1.1" 404 1180
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:07 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:12 +0900] "GET /movie/login HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:12 +0900] "GET /movie/css/user_login.css HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:18 +0900] "GET /movie/adduser HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:18 +0900] "GET /movie/css/user_add.css HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:18 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:18 +0900] "GET /content/img/css/cmxform-divider.gif HTTP/1.1" 404 1184
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:21 +0900] "GET /movie/login HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:24 +0900] "GET /movie/listview HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [16/Jul/2019:14:55:24 +0900] "GET /content/img/css/cmxform-fieldset.gif HTTP/1.1" 404 1185
